,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,¸éÀû´ç°¡°Ý,°Å·¡ÁÖ,count
898,898,11410,³²°¡ÁÂµ¿,2006-06-28,½Ö¿ë½ºÀ­´åÈ¨,380,84.98,5,2005,20500,241.23323134855258,25,1
899,899,11410,³²°¡ÁÂµ¿,2006-06-28,½Ö¿ë½ºÀ­´åÈ¨,380,84.98,6,2005,20700,243.58672628853847,25,1
900,900,11410,³²°¡ÁÂµ¿,2006-06-28,½Ö¿ë½ºÀ­´åÈ¨,380,84.98,7,2005,20800,244.7634737585314,25,1
901,901,11410,³²°¡ÁÂµ¿,2006-06-28,³²°¡ÁÂµ¿Çö´ë,376,114.9,14,1999,42500,369.88685813751084,25,1
902,902,11410,³²°¡ÁÂµ¿,2006-06-28,³²°¡ÁÂ»ï¼º,377,59.59,8,2000,22000,369.1894613190132,25,1
903,903,11410,³²°¡ÁÂµ¿,2006-06-30,³²°¡ÁÂµ¿Çö´ë,376,114.9,6,1999,36500,317.6675369886858,25,1
909,909,11410,¹Ì±Ùµ¿,2006-06-26,¼­¼Ò¹®,215,39.34,4,1971,6000,152.51652262328417,25,1
910,910,11410,¹Ì±Ùµ¿,2006-06-27,¼­¼Ò¹®,215,42.64,6,1971,13600,318.94934333958724,25,1
920,920,11410,ºÏ°¡ÁÂµ¿,2006-06-26,DMCÇÑ¾ç,431,65.34,12,1987,19000,290.78665442301804,25,1
921,921,11410,ºÏ°¡ÁÂµ¿,2006-06-26,½ÅÀÏÇØÇÇÆ®¸®,455,84.98,2,2005,27314,321.41680395387147,25,1
922,922,11410,ºÏ°¡ÁÂµ¿,2006-06-28,DMCÇÑ¾ç,431,84.33,10,1987,24300,288.153681963714,25,1
923,923,11410,ºÏ°¡ÁÂµ¿,2006-06-30,DMCÇÑ¾ç,431,116.76,1,1987,29500,252.65501884206918,25,1
924,924,11410,ºÏ°¡ÁÂµ¿,2006-06-30,½ÅÀÏÇØÇÇÆ®¸®,455,84.98,3,2005,27654,325.4177453518475,25,1
933,933,11410,ºÏ¾ÆÇöµ¿,2006-06-30,¼º¿ì,1-97,84.48,4,2005,27000,319.6022727272727,25,1
947,947,11410,¿¬Èñµ¿,2006-06-26,¼º¿ø,740,59.61,5,2001,21700,364.03288038919646,25,1
948,948,11410,¿¬Èñµ¿,2006-06-26,¼º¿ø,740,84.95,8,2001,34200,402.5897586815774,25,1
949,949,11410,¿¬Èñµ¿,2006-06-27,½Å¿ø,163-30,84.06,2,2002,17300,205.80537711158695,25,1
950,950,11410,¿¬Èñµ¿,2006-06-27,¼º¿ø,740,84.95,1,2001,29000,341.37728075338435,25,1
951,951,11410,¿¬Èñµ¿,2006-06-27,¼º¿ø,740,84.95,11,2001,37000,435.5503237198352,25,1
952,952,11410,¿¬Èñµ¿,2006-06-29,ÀÓ±¤,738,114.79,14,1999,43200,376.3394023869675,25,1
953,953,11410,¿¬Èñµ¿,2006-06-30,ÀºÇÏ,105-4,49.59,5,1971,7250,146.1988304093567,25,1
958,958,11410,¿µÃµµ¿,2006-06-26,µ¶¸³¹®»ïÈ£,100,84.78,9,1995,33000,389.242745930644,25,1
964,964,11410,ÃæÁ¤·Î3°¡,2006-06-27,ÃæÁ¤¼Ö·¹µð¿ò(101µ¿),30-17,80.47,5,2005,28900,359.140052193364,25,1
992,992,11410,È«Àºµ¿,2006-06-27,Ç³¸²1Â÷,440-3,56.61,6,1988,11375,200.93623034799506,25,1
993,993,11410,È«Àºµ¿,2006-06-27,¼­°­1Â÷(1µ¿),186-22,71.53,1,1988,13000,181.74192646442052,25,1
994,994,11410,È«Àºµ¿,2006-06-28,ÁøÈï,459,78.02,1,2002,22000,281.97897974878236,25,1
995,995,11410,È«Àºµ¿,2006-06-28,Ç³¸²2,453-2,58.5,7,1990,14600,249.57264957264957,25,1
996,996,11410,È«Àºµ¿,2006-06-28,À¯¿ø,22,64.26,6,1987,13700,213.1963896669779,25,1
997,997,11410,È«Àºµ¿,2006-06-28,À¯¿ø,22,54.54,5,1987,11150,204.43711037770444,25,1
998,998,11410,È«Àºµ¿,2006-06-28,Ç³¸²2,453-2,84.93,6,1990,24300,286.1179795125397,25,1
999,999,11410,È«Àºµ¿,2006-06-30,"Çö´ë(1,2Â÷)",202-5,84.77,5,1988,25500,300.8139672053793,25,1
1000,1000,11410,È«Àºµ¿,2006-06-30,È«Àºµ¿º®»ê,455,84.78,10,1997,24200,285.44468034913893,25,1
1001,1001,11410,È«Àºµ¿,2006-06-30,È«Àº¹Ì¼º,186-1,127.33,9,1985,38500,302.36393622869707,25,1
1047,1047,11410,È«Á¦µ¿,2006-06-25,È«Á¦ÇÑ¾ç,82,84.77,5,1993,29000,342.1021587825882,25,1
1048,1048,11410,È«Á¦µ¿,2006-06-26,°íÀº,156-200,62.58,4,1975,13550,216.52285075103867,25,1
1049,1049,11410,È«Á¦µ¿,2006-06-26,È«Á¦Çö´ë,331,106.18,3,1992,33500,315.501977773592,25,1
1050,1050,11410,È«Á¦µ¿,2006-06-26,È«Á¦ÇÑ¾ç,82,60.06,5,1993,18000,299.7002997002997,25,1
1051,1051,11410,È«Á¦µ¿,2006-06-26,È«Á¦ÇÑ¾ç,82,60.06,5,1993,17700,294.7052947052947,25,1
1052,1052,11410,È«Á¦µ¿,2006-06-27,È«Á¦ÇÑ¾ç,82,84.77,8,1993,26500,312.6105933702961,25,1
1053,1053,11410,È«Á¦µ¿,2006-06-27,Ã»±¸1Â÷,453,84.78,10,1994,27000,318.47133757961785,25,1
1054,1054,11410,È«Á¦µ¿,2006-06-27,ÀÎ¿Õ»êÇö´ë,460,84.9,17,2000,35000,412.2497055359246,25,1
1055,1055,11410,È«Á¦µ¿,2006-06-28,³²¾ç,457,114.99,11,1999,32500,282.63327245847466,25,1
1056,1056,11410,È«Á¦µ¿,2006-06-30,Á¶ÇÑ,458,84.94,8,2000,21000,247.23334118201083,25,1
1057,1057,11410,È«Á¦µ¿,2006-06-30,Áß¾ÓÇÏÀÌÃ÷,342,84.97,8,2001,21000,247.14605154760505,25,1
1058,1058,11410,³²°¡ÁÂµ¿,2006-07-01,Ã¢´ö¿¡¹öºô,105-1,120.5,16,1998,34500,286.3070539419087,25,1
1059,1059,11410,³²°¡ÁÂµ¿,2006-07-01,½Ö¿ë½ºÀ­´åÈ¨,380,84.98,18,2005,31800,374.20569545775476,25,1
1071,1071,11410,³ÃÃµµ¿,2006-07-01,µ¿ºÎ¼¾Æ®·¹ºô,260,59.86,10,2002,21000,350.81857667891745,25,1
1072,1072,11410,³ÃÃµµ¿,2006-07-01,µ¿ºÎ¼¾Æ®·¹ºô,260,84.93,6,2002,31000,365.006475921347,25,1
1091,1091,11410,ºÏ¾ÆÇöµ¿,2006-07-01,µÎ»ê,1009,59.96,7,1999,19700,328.552368245497,25,1
1101,1101,11410,¿¬Èñµ¿,2006-07-01,È«¿¬,729,57.02,2,1981,15600,273.5882146615223,25,1
1111,1111,11410,¿µÃµµ¿,2006-07-01,µ¶¸³¹®»ïÈ£,100,84.78,3,1995,29650,349.72870960132104,25,1
1112,1112,11410,¿µÃµµ¿,2006-07-01,µ¶¸³¹®»ïÈ£,100,114.63,15,1995,51000,444.9097095001309,25,1
1127,1127,11410,ÇöÀúµ¿,2006-07-01,µ¶¸³¹®±Øµ¿(200-0),200,84.87,4,1998,35000,412.3954283021091,25,1
1136,1136,11410,È«Àºµ¿,2006-07-01,±Øµ¿,454,84.92,6,1995,18100,213.14178049929345,25,1
1137,1137,11410,È«Àºµ¿,2006-07-01,"Çö´ë(1,2Â÷)",202-5,84.77,7,1988,26000,306.7122802878377,25,1
1138,1138,11410,È«Àºµ¿,2006-07-01,È«Àºµ¿º®»ê,455,84.96,15,1997,24000,282.4858757062147,25,1
1176,1176,11410,È«Á¦µ¿,2006-07-01,°íÀº,156-200,62.48,2,1975,15600,249.67989756722153,25,1
1177,1177,11410,È«Á¦µ¿,2006-07-01,È«Á¦ÇÑ¾ç,82,60.06,5,1993,16800,279.72027972027973,25,1
