,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,Æò´ç°¡°Ý,°Å·¡ÁÖ
1794,1,11410,³²°¡ÁÂµ¿,2006-10-10,³²°¡ÁÂ»ï¼º,377,59.97,2,2000,17200,286.8100717025179,40
1795,1,11410,³²°¡ÁÂµ¿,2006-10-11,³²°¡ÁÂ»ï¼º,377,59.93,3,2000,21000,350.40881027865845,40
1796,1,11410,³²°¡ÁÂµ¿,2006-10-12,³²°¡ÁÂ»ï¼º,377,59.59,3,2000,20000,335.62678301728477,40
1797,1,11410,³²°¡ÁÂµ¿,2006-10-12,³²°¡ÁÂµ¿Çö´ë,376,59.4,6,1999,19250,324.0740740740741,40
1798,1,11410,³²°¡ÁÂµ¿,2006-10-14,¹é·Ã¹Ì¶óº¸,345-4,59.27,8,1992,14200,239.5815758393791,40
1858,1,11410,³ÃÃµµ¿,2006-10-10,µ¿ºÎ¼¾Æ®·¹ºô,260,84.93,1,2002,28000,329.68326857411984,40
1859,1,11410,³ÃÃµµ¿,2006-10-11,µ¿ºÎ¼¾Æ®·¹ºô,260,59.86,16,2002,20000,334.1129301703976,40
1864,1,11410,´ëÇöµ¿,2006-10-11,·°Å°´ëÇö,144,59.7,10,1999,21000,351.75879396984925,40
1871,1,11410,ºÏ°¡ÁÂµ¿,2006-10-09,DMCÇÑ¾ç,431,65.34,13,1987,18000,275.4820936639118,40
1872,1,11410,ºÏ°¡ÁÂµ¿,2006-10-11,ºÏ°¡ÁÂ»ïÈ£,449,84.57,15,1996,27600,326.3568641362185,40
1873,1,11410,ºÏ°¡ÁÂµ¿,2006-10-13,¿äÁø,150,59.04,11,1998,15000,254.0650406504065,40
1874,1,11410,ºÏ°¡ÁÂµ¿,2006-10-14,DMCÇÑ¾ç,431,65.34,9,1987,19500,298.43893480257117,40
1905,1,11410,ºÏ¾ÆÇöµ¿,2006-10-11,µÎ»ê,1009,59.96,7,1999,19400,323.54903268845896,40
1906,1,11410,ºÏ¾ÆÇöµ¿,2006-10-12,µÎ»ê,1009,59.96,10,1999,20000,333.555703802535,40
1907,1,11410,ºÏ¾ÆÇöµ¿,2006-10-13,µÎ»ê,1009,59.96,15,1999,19500,325.21681120747166,40
1908,1,11410,ºÏ¾ÆÇöµ¿,2006-10-14,¼º¿ì,1-97,84.48,1,2005,27700,327.88825757575756,40
1919,1,11410,¿¬Èñµ¿,2006-10-09,´ë¸²,700,84.74,8,1993,29000,342.22327118244044,40
1920,1,11410,¿¬Èñµ¿,2006-10-09,ÇÑÀÎÆ®À©ºô,717-29,84.62,15,2002,16000,189.08059560387613,40
1921,1,11410,¿¬Èñµ¿,2006-10-11,¼º¿ø½Ö¶¼ºôÆÓ¸®½º,742,84.98,5,2005,42000,494.2339373970346,40
1922,1,11410,¿¬Èñµ¿,2006-10-12,¼º¿ø,740,59.61,17,2001,23250,390.03522898842476,40
1923,1,11410,¿¬Èñµ¿,2006-10-12,¼º¿ø,740,59.61,1,2001,19400,325.44875020969636,40
1924,1,11410,¿¬Èñµ¿,2006-10-14,´ë¿ìÇª¸£Áö¿À,739,59.584,20,2002,19300,323.9124597207304,40
1925,1,11410,¿¬Èñµ¿,2006-10-14,¼º¿ø,740,84.95,3,2001,32800,386.10947616244846,40
1926,1,11410,¿¬Èñµ¿,2006-10-14,¼º¿ø,740,115.06,13,2001,53000,460.6292369198679,40
1927,1,11410,¿¬Èñµ¿,2006-10-14,¼º¿ø,740,59.61,7,2001,20000,335.5141754739138,40
1956,1,11410,¿µÃµµ¿,2006-10-09,µ¶¸³¹®»ïÈ£,100,84.78,1,1995,28000,330.26657230478884,40
1957,1,11410,¿µÃµµ¿,2006-10-10,µ¶¸³¹®»ïÈ£,100,75.66,13,1995,29500,389.9021940259054,40
1958,1,11410,¿µÃµµ¿,2006-10-11,µ¶¸³¹®»ïÈ£,100,108.63,16,1995,53400,491.5769124551229,40
1959,1,11410,¿µÃµµ¿,2006-10-11,µ¶¸³¹®»ïÈ£,100,84.78,4,1995,33600,396.3198867657466,40
1960,1,11410,¿µÃµµ¿,2006-10-11,µ¶¸³¹®»ïÈ£,100,75.66,9,1995,30000,396.5107057890563,40
1961,1,11410,¿µÃµµ¿,2006-10-12,µ¶¸³¹®»ïÈ£,100,84.78,6,1995,35000,412.8332153809861,40
1962,1,11410,¿µÃµµ¿,2006-10-14,µ¶¸³¹®»ïÈ£,100,84.78,2,1995,27000,318.47133757961785,40
1973,1,11410,Ã¢Ãµµ¿,2006-10-10,·¡µð¾Ó,511-5,132.16,5,2003,39000,295.0968523002421,40
1976,1,11410,Ãµ¿¬µ¿,2006-10-13,»ê°æ,117-23,134.94,5,1994,30000,222.3210315695865,40
1980,1,11410,ÃæÁ¤·Î3°¡,2006-10-09,¹Ìµ¿,189-8,55.57,3,1969,11000,197.94853338132086,40
1988,1,11410,ÇöÀúµ¿,2006-10-09,µ¶¸³¹®ÆÄÅ©ºô,1019,59.4,14,2000,18500,311.44781144781143,40
1989,1,11410,ÇöÀúµ¿,2006-10-11,µ¶¸³¹®±Øµ¿(200-0),200,84.87,20,1998,39500,465.4176976552374,40
1990,1,11410,ÇöÀúµ¿,2006-10-14,µ¶¸³¹®±Øµ¿(200-0),200,59.58,16,1998,25500,427.9959718026183,40
1991,1,11410,ÇöÀúµ¿,2006-10-14,µ¶¸³¹®±Øµ¿(200-0),200,59.58,17,1998,26500,444.7801275595838,40
1992,1,11410,ÇöÀúµ¿,2006-10-14,µ¶¸³¹®±Øµ¿(200-0),200,59.58,7,1998,26450,443.9409197717355,40
2019,1,11410,È«Àºµ¿,2006-10-08,±Øµ¿,454,84.92,6,1995,19300,227.27272727272728,40
2020,1,11410,È«Àºµ¿,2006-10-09,µÎ»ê,456,84.84,2,1997,20700,243.98868458274399,40
2021,1,11410,È«Àºµ¿,2006-10-10,ÁøÈï,459,54.19,5,2002,16400,302.6388632589039,40
2022,1,11410,È«Àºµ¿,2006-10-10,È«Àºµ¿º®»ê,455,84.78,12,1997,25000,294.88086812927577,40
2023,1,11410,È«Àºµ¿,2006-10-10,Ç³¸²2,453-2,58.5,6,1990,14800,252.991452991453,40
2024,1,11410,È«Àºµ¿,2006-10-10,È«Àºµ¿º®»ê,455,58.64,8,1997,16500,281.37789904502046,40
2025,1,11410,È«Àºµ¿,2006-10-10,µ¿ÀÏ,457,59.77,19,1997,15500,259.32742178350344,40
2026,1,11410,È«Àºµ¿,2006-10-11,"Çö´ë(1,2Â÷)",202-5,73.98,2,1988,22150,299.4052446607191,40
2027,1,11410,È«Àºµ¿,2006-10-11,È«Àºµ¿Ç³¸²¾ÆÀÌ¿ø,460,84.91799999999998,2,2002,25800,303.82251112838276,40
2028,1,11410,È«Àºµ¿,2006-10-12,È«Àºµ¿º®»ê,455,114.96,9,1997,37000,321.85107863604736,40
2029,1,11410,È«Àºµ¿,2006-10-12,È«Àºµ¿Ç³¸²¾ÆÀÌ¿ø,460,84.91799999999998,10,2002,30000,353.281989684166,40
2030,1,11410,È«Àºµ¿,2006-10-12,È«Àºµ¿Ç³¸²¾ÆÀÌ¿ø,460,116.101,15,2002,39500,340.2210144615464,40
2031,1,11410,È«Àºµ¿,2006-10-13,À¯¿ø,22,64.26,8,1987,15300,238.09523809523807,40
2032,1,11410,È«Àºµ¿,2006-10-13,"Çö´ë(1,2Â÷)",202-5,59.96,15,1988,18200,303.53569046030685,40
2033,1,11410,È«Àºµ¿,2006-10-13,Ç³¸²2,453-2,66.69,13,1990,17500,262.4081571449993,40
2034,1,11410,È«Àºµ¿,2006-10-14,È«Àºµ¿º®»ê,455,142.98,12,1997,49500,346.202266051196,40
2035,1,11410,È«Àºµ¿,2006-10-14,Ç³¸²2,453-2,58.5,9,1990,14400,246.15384615384616,40
2118,1,11410,È«Á¦µ¿,2006-10-09,¹®È­ÃÌÇö´ë,463,59.94,2,2002,17500,291.95862529195864,40
2119,1,11410,È«Á¦µ¿,2006-10-09,È«Á¦»ï¼º·¡¹Ì¾È,461,60.0,3,2001,19500,325.0,40
2120,1,11410,È«Á¦µ¿,2006-10-09,À¯¿øÇÏ³ª,454,58.77,11,1996,13500,229.70903522205205,40
2121,1,11410,È«Á¦µ¿,2006-10-09,Ã»±¸2Â÷,453-1,84.95,2,1997,27000,317.8340200117716,40
2122,1,11410,È«Á¦µ¿,2006-10-09,È«Á¦Çö´ë,331,75.15,8,1992,25000,332.667997338656,40
2123,1,11410,È«Á¦µ¿,2006-10-09,È«Á¦Çö´ë,331,75.15,15,1992,24900,331.33732534930135,40
2124,1,11410,È«Á¦µ¿,2006-10-09,¹®È­ÃÌÇö´ë,463,84.99,11,2002,30600,360.0423579244617,40
2125,1,11410,È«Á¦µ¿,2006-10-10,°íÀº,156-200,62.48,5,1975,14600,233.67477592829707,40
2126,1,11410,È«Á¦µ¿,2006-10-10,È«Á¦¿øÇö´ë(459-0),459,84.9,4,2000,32000,376.91401648998817,40
2127,1,11410,È«Á¦µ¿,2006-10-10,Ã»±¸2Â÷,453-1,84.89,1,1997,25000,294.49876310519494,40
2128,1,11410,È«Á¦µ¿,2006-10-10,Ã»±¸2Â÷,453-1,84.95,11,1997,30000,353.1489111241907,40
2129,1,11410,È«Á¦µ¿,2006-10-10,ÀÎ¿Õµå¸²ºô,82-81,82.14,4,2004,19000,231.31239347455565,40
2130,1,11410,È«Á¦µ¿,2006-10-10,È«Á¦¿øÇö´ë(459-0),459,59.93,17,2000,22000,367.0949441014517,40
2131,1,11410,È«Á¦µ¿,2006-10-11,È«Á¦ÇÑ¾ç,82,84.77,3,1993,30700,362.1564232629468,40
2132,1,11410,È«Á¦µ¿,2006-10-11,È«Á¦Çö´ë,331,60.81,3,1992,18300,300.93734583127775,40
2133,1,11410,È«Á¦µ¿,2006-10-11,ÃÊ¿øµå¸²ºô,335-10,78.59,2,2000,15000,190.8639776052933,40
2134,1,11410,È«Á¦µ¿,2006-10-11,È«Á¦Çö´ë,331,106.18,12,1992,41500,390.84573365982294,40
2135,1,11410,È«Á¦µ¿,2006-10-11,È«Á¦ÇÑ¾ç,82,60.06,8,1993,18500,308.025308025308,40
2136,1,11410,È«Á¦µ¿,2006-10-12,È«Á¦Çö´ë,331,83.05,11,1992,32200,387.7182420228778,40
2137,1,11410,È«Á¦µ¿,2006-10-12,È«Á¦¿øÇö´ë(459-0),459,84.9,2,2000,32900,387.5147232037691,40
2138,1,11410,È«Á¦µ¿,2006-10-12,Ã»±¸3Â÷,462,59.4,15,2001,19500,328.2828282828283,40
2139,1,11410,È«Á¦µ¿,2006-10-12,¹®È­ÃÌÇö´ë,463,84.99,1,2002,25500,300.03529827038477,40
2140,1,11410,È«Á¦µ¿,2006-10-12,È«Á¦¿øÇö´ë(459-0),459,59.93,12,2000,19700,328.7168363090272,40
2141,1,11410,È«Á¦µ¿,2006-10-12,¹®È­ÃÌÇö´ë,463,59.94,3,2002,17100,285.2852852852853,40
2142,1,11410,È«Á¦µ¿,2006-10-12,¹®È­ÃÌÇö´ë,463,84.99,11,2002,27500,323.5674785268855,40
2143,1,11410,È«Á¦µ¿,2006-10-12,¹®È­ÃÌÇö´ë,463,84.99,19,2002,30400,357.6891398988117,40
2144,1,11410,È«Á¦µ¿,2006-10-12,È«Á¦±×¸°,157-3,164.71,10,2003,45000,273.2074555278975,40
2145,1,11410,È«Á¦µ¿,2006-10-12,È«Á¦Çö´ë,331,83.05,1,1992,24000,288.9825406381698,40
2146,1,11410,È«Á¦µ¿,2006-10-13,¹®È­ÃÌÇö´ë,463,84.99,15,2002,31300,368.278621014237,40
2147,1,11410,È«Á¦µ¿,2006-10-13,Ã»±¸1Â÷,453,84.78,14,1994,32000,377.447511205473,40
2148,1,11410,È«Á¦µ¿,2006-10-13,¼º¿ø,456,41.5,14,1998,11000,265.06024096385545,40
2149,1,11410,È«Á¦µ¿,2006-10-13,ÅÂ¿µÀ¸¶ä(µ¥½Ã¾Ó),373,48.97,5,1998,12500,255.25832142127834,40
2150,1,11410,È«Á¦µ¿,2006-10-13,À¯¿øÇÏ³ª,454,82.35,2,1996,19000,230.72252580449305,40
2151,1,11410,È«Á¦µ¿,2006-10-13,Ã»±¸2Â÷,453-1,84.89,5,1997,28500,335.72858993992224,40
2152,1,11410,È«Á¦µ¿,2006-10-14,È«Á¦»ï¼º·¡¹Ì¾È,461,84.33,2,2001,34200,405.5496264674493,40
2153,1,11410,È«Á¦µ¿,2006-10-14,È«Á¦¿øÇö´ë(459-0),459,84.9,9,2000,32000,376.91401648998817,40
2154,1,11410,È«Á¦µ¿,2006-10-14,ÀÎ¿Õ»êÇö´ë,460,84.9,18,2000,37200,438.1625441696113,40
2155,1,11410,È«Á¦µ¿,2006-10-14,¹®È­ÃÌÇö´ë,463,84.99,4,2002,26500,311.80138839863514,40
2156,1,11410,È«Á¦µ¿,2006-10-14,¹®È­ÃÌÇö´ë,463,84.99,19,2002,30800,362.3955759501118,40
2157,1,11410,È«Á¦µ¿,2006-10-14,È«Á¦ÇÑ¾ç,82,60.06,3,1993,18000,299.7002997002997,40
