,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,¸éÀû´ç°¡°Ý,°Å·¡ÁÖ,count
453,453,11410,³²°¡ÁÂµ¿,2006-04-09,³²°¡ÁÂµ¿Çö´ë,376,59.4,11,1999,18400,309.76430976430976,14,1
454,454,11410,³²°¡ÁÂµ¿,2006-04-09,³²°¡ÁÂµ¿Çö´ë,376,59.4,2,1999,17500,294.61279461279463,14,1
455,455,11410,³²°¡ÁÂµ¿,2006-04-10,³²°¡ÁÂµ¿Çö´ë,376,59.4,2,1999,16250,273.56902356902356,14,1
456,456,11410,³²°¡ÁÂµ¿,2006-04-11,³²°¡ÁÂ»ï¼º,377,59.93,5,2000,21000,350.40881027865845,14,1
457,457,11410,³²°¡ÁÂµ¿,2006-04-11,³²°¡ÁÂµ¿Çö´ë,376,84.78,7,1999,30000,353.8570417551309,14,1
458,458,11410,³²°¡ÁÂµ¿,2006-04-12,³²°¡ÁÂµ¿Çö´ë,376,59.4,16,1999,17800,299.66329966329965,14,1
459,459,11410,³²°¡ÁÂµ¿,2006-04-14,³²°¡ÁÂµ¿Çö´ë,376,114.9,4,1999,36400,316.7972149695387,14,1
460,460,11410,³²°¡ÁÂµ¿,2006-04-14,³²°¡ÁÂ»ï¼º,377,59.93,16,2000,22000,367.0949441014517,14,1
486,486,11410,´ëÇöµ¿,2006-04-11,·°Å°´ëÇö,144,83.38,1,1999,22000,263.85224274406335,14,1
487,487,11410,´ëÇöµ¿,2006-04-14,·°Å°´ëÇö,144,59.7,7,1999,19000,318.2579564489112,14,1
490,490,11410,¹Ì±Ùµ¿,2006-04-10,¼­¼Ò¹®,215,42.64,6,1971,13600,318.94934333958724,14,1
495,495,11410,ºÏ°¡ÁÂµ¿,2006-04-09,ºÏ°¡ÁÂ»ïÈ£,449,114.03,15,1996,35800,313.95246864860127,14,1
496,496,11410,ºÏ°¡ÁÂµ¿,2006-04-12,DMCÇÑ¾ç,431,65.34,10,1987,17500,267.82981328435875,14,1
497,497,11410,ºÏ°¡ÁÂµ¿,2006-04-12,DMCÇÑ¾ç,431,65.34,11,1987,19000,290.78665442301804,14,1
508,508,11410,ºÏ¾ÆÇöµ¿,2006-04-12,ºÏ¾ÆÇö¸Ç¼Ç,114-1,84.95,1,1975,23000,270.7474985285462,14,1
509,509,11410,ºÏ¾ÆÇöµ¿,2006-04-15,µÎ»ê,1009,59.96,12,1999,18500,308.5390260173449,14,1
515,515,11410,¿¬Èñµ¿,2006-04-10,È«¿¬,729,52.23,3,1981,13650,261.34405514072375,14,1
516,516,11410,¿¬Èñµ¿,2006-04-12,ÀÓ±¤,738,59.96,10,1999,17350,289.35957304869913,14,1
517,517,11410,¿¬Èñµ¿,2006-04-12,¼º¿ø,740,59.61,4,2001,21000,352.28988424760945,14,1
518,518,11410,¿¬Èñµ¿,2006-04-13,¼º¿ø,740,115.06,7,2001,54000,469.32035459760124,14,1
519,519,11410,¿¬Èñµ¿,2006-04-15,´ë¸²,700,119.49,8,1993,38700,323.87647501883004,14,1
520,520,11410,¿¬Èñµ¿,2006-04-15,¼º¿ø,740,84.95,5,2001,33000,388.46380223660975,14,1
529,529,11410,¿µÃµµ¿,2006-04-10,µ¶¸³¹®»ïÈ£,100,84.78,5,1995,30000,353.8570417551309,14,1
546,546,11410,ÇöÀúµ¿,2006-04-10,µ¶¸³¹®±Øµ¿(200-0),200,59.58,14,1998,26500,444.7801275595838,14,1
547,547,11410,ÇöÀúµ¿,2006-04-11,µ¶¸³¹®±Øµ¿(200-0),200,102.45,11,1998,43000,419.71693509028796,14,1
548,548,11410,ÇöÀúµ¿,2006-04-14,µ¶¸³¹®±Øµ¿(200-0),200,102.45,12,1998,42800,417.76476329917034,14,1
564,564,11410,È«Àºµ¿,2006-04-09,±Øµ¿,454,84.92,12,1995,19500,229.62788506829958,14,1
565,565,11410,È«Àºµ¿,2006-04-09,"Çö´ë(1,2Â÷)",202-5,74.52,9,1989,22900,307.3000536768653,14,1
566,566,11410,È«Àºµ¿,2006-04-11,Ç³¸²2,453-2,58.5,6,1990,15000,256.4102564102564,14,1
567,567,11410,È«Àºµ¿,2006-04-11,È«Àºµ¿º®»ê,455,84.78,13,1997,25200,297.23991507431,14,1
568,568,11410,È«Àºµ¿,2006-04-11,È«Àºµ¿º®»ê,455,114.96,14,1997,35500,308.80306193458597,14,1
569,569,11410,È«Àºµ¿,2006-04-11,±Øµ¿,454,84.92,7,1995,20500,241.4036740461611,14,1
570,570,11410,È«Àºµ¿,2006-04-12,È«Àºµ¿º®»ê,455,84.96,8,1997,24000,282.4858757062147,14,1
571,571,11410,È«Àºµ¿,2006-04-12,È«Àº¹Ì¼º,186-1,127.33,10,1985,38100,299.22249273541195,14,1
572,572,11410,È«Àºµ¿,2006-04-13,Ç³¸²2,453-2,58.5,12,1990,13000,222.22222222222223,14,1
573,573,11410,È«Àºµ¿,2006-04-13,µÎ»ê,456,84.84,6,1997,22500,265.2050919377652,14,1
574,574,11410,È«Àºµ¿,2006-04-15,±Øµ¿,454,84.92,3,1995,19500,229.62788506829958,14,1
575,575,11410,È«Àºµ¿,2006-04-15,"Çö´ë(1,2Â÷)",202-5,84.77,3,1989,25000,294.91565412292084,14,1
576,576,11410,È«Àºµ¿,2006-04-15,È«Àºµ¿º®»ê,455,142.98,11,1997,40000,279.75940691005735,14,1
622,622,11410,È«Á¦µ¿,2006-04-09,Ã»±¸1Â÷,453,84.78,14,1994,27400,323.18943146968627,14,1
623,623,11410,È«Á¦µ¿,2006-04-10,Ã»±¸1Â÷,453,84.78,9,1994,30300,357.3956121726822,14,1
624,624,11410,È«Á¦µ¿,2006-04-10,ÀÎ¿Õ»êÇö´ë,460,114.72,13,2000,49500,431.4853556485356,14,1
625,625,11410,È«Á¦µ¿,2006-04-10,È«Á¦»ï¼º·¡¹Ì¾È,461,84.33,9,2001,35000,415.0361674374481,14,1
626,626,11410,È«Á¦µ¿,2006-04-10,È«Á¦ÇÑ¾ç,82,84.77,14,1993,28000,330.30553261767136,14,1
627,627,11410,È«Á¦µ¿,2006-04-10,È«Á¦ÇÑ¾ç,82,120.14,2,1993,38000,316.29765273847175,14,1
628,628,11410,È«Á¦µ¿,2006-04-11,È«Á¦Çö´ë,331,75.15,5,1992,26450,351.96274118429807,14,1
629,629,11410,È«Á¦µ¿,2006-04-11,È«Á¦ÇÑ¾ç,82,84.77,2,1993,26300,310.25126813731276,14,1
630,630,11410,È«Á¦µ¿,2006-04-11,È«Á¦ÇÑ¾ç,82,120.14,8,1993,43000,357.9157649409023,14,1
631,631,11410,È«Á¦µ¿,2006-04-11,Ã»±¸1Â÷,453,84.78,14,1994,26500,312.5737202170323,14,1
632,632,11410,È«Á¦µ¿,2006-04-11,È«Á¦ÇÑ¾ç,82,60.06,3,1993,16700,278.05527805527805,14,1
633,633,11410,È«Á¦µ¿,2006-04-11,ÀÎ¿Õµå¸²ºô,82-81,43.82,6,2004,13100,298.95025102692836,14,1
634,634,11410,È«Á¦µ¿,2006-04-11,È«Á¦ÇÑ¾ç,82,84.77,2,1993,25000,294.91565412292084,14,1
635,635,11410,È«Á¦µ¿,2006-04-12,·°Å°Èú,312-67,84.62,6,2005,16300,192.6258567714488,14,1
636,636,11410,È«Á¦µ¿,2006-04-12,È«Á¦Çö´ë,331,75.15,13,1992,27000,359.2814371257485,14,1
637,637,11410,È«Á¦µ¿,2006-04-13,Ã»±¸3Â÷,462,84.96,9,2001,26200,308.38041431261775,14,1
638,638,11410,È«Á¦µ¿,2006-04-13,À¯¿øÇÏ³ª,454,58.77,9,1996,13000,221.20129317679087,14,1
639,639,11410,È«Á¦µ¿,2006-04-13,ÅÂ¿µÀ¸¶ä(µ¥½Ã¾Ó),373,66.09,2,1998,15000,226.96323195642304,14,1
640,640,11410,È«Á¦µ¿,2006-04-13,°íÀº,156-200,63.8,4,1975,13450,210.81504702194357,14,1
641,641,11410,È«Á¦µ¿,2006-04-14,È«Á¦»ï¼º·¡¹Ì¾È,461,60.0,1,2001,19000,316.6666666666667,14,1
642,642,11410,È«Á¦µ¿,2006-04-14,È«Á¦ÇÑ¾ç,82,84.77,2,1993,27500,324.40721953521296,14,1
643,643,11410,È«Á¦µ¿,2006-04-15,È«Á¦ÇÑ¾ç,82,84.77,4,1993,28500,336.20384570012976,14,1
644,644,11410,È«Á¦µ¿,2006-04-15,È«Á¦ÇÑ¾ç,82,60.06,4,1993,17000,283.05028305028304,14,1
645,645,11410,È«Á¦µ¿,2006-04-15,È«Á¦¿øÇö´ë(459-0),459,114.72,17,2000,49800,434.10041841004187,14,1
646,646,11410,È«Á¦µ¿,2006-04-15,¹®È­ÃÌÇö´ë,463,84.99,4,2002,29500,347.0996587833863,14,1
647,647,11410,È«Á¦µ¿,2006-04-15,À¯¿øÇÏ³ª,454,72.34,3,1996,15100,208.73652197954104,14,1
