,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,Æò´ç°¡°Ý,°Å·¡ÁÖ
5374,1,11410,³²°¡ÁÂµ¿,2008-02-19,·¡¹Ì¾È³²°¡ÁÂ2Â÷,379,59.788,1,2005,31800,531.8793068843246,111
5375,1,11410,³²°¡ÁÂµ¿,2008-02-19,³²°¡ÁÂµ¿Çö´ë,376,114.9,18,1999,45500,395.9965187119234,111
5376,1,11410,³²°¡ÁÂµ¿,2008-02-20,³²°¡ÁÂ»ï¼º,377,84.9,16,2000,45000,530.035335689046,111
5377,1,11410,³²°¡ÁÂµ¿,2008-02-21,³²°¡ÁÂ»ï¼º,377,59.97,11,2000,28700,478.5726196431549,111
5378,1,11410,³²°¡ÁÂµ¿,2008-02-22,³²°¡ÁÂ»ï¼º,377,59.93,5,2000,28500,475.5548139496079,111
5379,1,11410,³²°¡ÁÂµ¿,2008-02-22,³²°¡ÁÂ»ï¼º,377,114.93,3,2000,52800,459.4100756982511,111
5380,1,11410,³²°¡ÁÂµ¿,2008-02-22,³²°¡ÁÂ»ï¼º,377,59.97,5,2000,28600,476.9051192262798,111
5394,1,11410,´ëÇöµ¿,2008-02-17,¿¹½º¿¡ÀÌÇÇ¿¥,145,38.72,10,2007,23553,608.2902892561983,111
5395,1,11410,´ëÇöµ¿,2008-02-20,·°Å°´ëÇö,144,83.38,11,1999,40000,479.7313504437515,111
5402,1,11410,ºÏ°¡ÁÂµ¿,2008-02-18,DMCÇö´ë¾ÆÆÄÆ®,453,84.95,5,2000,31900,375.5150088287228,111
5403,1,11410,ºÏ°¡ÁÂµ¿,2008-02-18,DMCÇö´ë¾ÆÆÄÆ®,453,84.95,3,2000,32500,382.5779870512066,111
5404,1,11410,ºÏ°¡ÁÂµ¿,2008-02-19,µ¿¸²ºô¶ó,5-19,78.12,6,2002,18000,230.4147465437788,111
5405,1,11410,ºÏ°¡ÁÂµ¿,2008-02-19,ºÏ°¡ÁÂ»ïÈ£,449,84.57,2,1996,32300,381.93212723187895,111
5406,1,11410,ºÏ°¡ÁÂµ¿,2008-02-22,DMCÇÑ¾ç,431,84.33,13,1987,38600,457.7256018024428,111
5407,1,11410,ºÏ°¡ÁÂµ¿,2008-02-22,DMCµÎ»êÀ§ºê,459,84.9923,2,2007,39200,461.21825153572735,111
5408,1,11410,ºÏ°¡ÁÂµ¿,2008-02-22,DMCÇÑ¾ç,431,65.34,9,1987,27000,413.22314049586777,111
5409,1,11410,ºÏ°¡ÁÂµ¿,2008-02-22,ºÏ°¡ÁÂ»ïÈ£,449,114.03,1,1996,42000,368.3241252302026,111
5425,1,11410,¿¬Èñµ¿,2008-02-19,¼º¿ø,740,84.95,12,2001,42900,505.0029429075927,111
5426,1,11410,¿¬Èñµ¿,2008-02-19,È«¿¬,729,52.23,5,1981,20000,382.92169251388094,111
5427,1,11410,¿¬Èñµ¿,2008-02-19,¼º¿ø,740,59.61,16,2001,28000,469.7198456634793,111
5428,1,11410,¿¬Èñµ¿,2008-02-20,¿¬Èñ±Ã,196-1,42.38,1,1972,5700,134.49740443605472,111
5429,1,11410,¿¬Èñµ¿,2008-02-20,¿¬Èñ±Ã,196-1,50.04,1,1972,6300,125.89928057553956,111
5430,1,11410,¿¬Èñµ¿,2008-02-20,¼º¿ø,740,59.61,16,2001,27000,452.9441368897836,111
5431,1,11410,¿¬Èñµ¿,2008-02-22,ÆÄÅ©ºô,712-25,70.76,6,2003,20000,282.6455624646693,111
5432,1,11410,¿¬Èñµ¿,2008-02-23,¼º¿ø,740,59.61,12,2001,28700,481.46284180506626,111
5433,1,11410,¿¬Èñµ¿,2008-02-23,½Ã¹Î,188-41,51.57,2,1978,9000,174.52006980802793,111
5439,1,11410,¿µÃµµ¿,2008-02-18,µ¶¸³¹®»ïÈ£,100,84.78,16,1995,42900,506.0155697098372,111
5455,1,11410,ÇöÀúµ¿,2008-02-17,µ¶¸³¹®±Øµ¿(200-0),200,59.58,18,1998,35100,589.1238670694864,111
5456,1,11410,ÇöÀúµ¿,2008-02-19,µ¶¸³¹®±Øµ¿(200-0),200,84.87,16,1998,51500,606.8104159302462,111
5457,1,11410,ÇöÀúµ¿,2008-02-19,µ¶¸³¹®±Øµ¿(200-0),200,102.45,17,1998,59000,575.8906783796974,111
5458,1,11410,ÇöÀúµ¿,2008-02-20,µ¶¸³¹®±Øµ¿(200-0),200,84.87,14,1998,47800,563.2143277954518,111
5459,1,11410,ÇöÀúµ¿,2008-02-20,µ¶¸³¹®ÆÄÅ©ºô,1019,59.4,9,2000,23000,387.20538720538724,111
5460,1,11410,ÇöÀúµ¿,2008-02-22,µ¶¸³¹®±Øµ¿(200-0),200,84.87,8,1998,48000,565.5708731000353,111
5461,1,11410,ÇöÀúµ¿,2008-02-22,µ¶¸³¹®±Øµ¿(200-0),200,59.58,5,1998,35000,587.4454514937898,111
5462,1,11410,ÇöÀúµ¿,2008-02-23,µ¶¸³¹®±Øµ¿(200-0),200,84.87,10,1998,51500,606.8104159302462,111
5480,1,11410,È«Àºµ¿,2008-02-18,"Çö´ë(1,2Â÷)",202-5,59.96,8,1988,24450,407.77184789859905,111
5481,1,11410,È«Àºµ¿,2008-02-18,°­¸²½ºÀ§Æ®ºô(Aµ¿),195-8,78.48,3,2003,19800,252.29357798165137,111
5482,1,11410,È«Àºµ¿,2008-02-20,¿¬Èñº£¹ú¸®ÈúÁî,304,231.89,1,2006,170000,733.1062141532624,111
5483,1,11410,È«Àºµ¿,2008-02-20,½Å¿øÁöº¥½ºÅ¸1,392-7,213.23,6,2005,76500,358.7675280213854,111
5484,1,11410,È«Àºµ¿,2008-02-20,È«Àºµ¿º®»ê,455,142.98,2,1997,54500,381.17219191495315,111
5485,1,11410,È«Àºµ¿,2008-02-20,µ¿Æò´ÃÇª¸¥,265-281,84.56,6,2005,23000,271.996215704825,111
5486,1,11410,È«Àºµ¿,2008-02-20,ÁøÈï,459,78.02,7,2002,30000,384.5167905665214,111
5487,1,11410,È«Àºµ¿,2008-02-21,Ç³¸²2,453-2,58.5,15,1990,19500,333.3333333333333,111
5488,1,11410,È«Àºµ¿,2008-02-21,µÎ»ê,456,59.73,11,1997,20900,349.90791896869246,111
5489,1,11410,È«Àºµ¿,2008-02-21,ÁøÈï,459,54.19,13,2002,21000,387.52537368518176,111
5490,1,11410,È«Àºµ¿,2008-02-23,È«Àºµ¿º®»ê,455,84.78,4,1997,36300,428.1670205237084,111
5525,1,11410,È«Á¦µ¿,2008-02-17,È«Á¦ÇÑ¾ç,82,60.06,9,1993,28000,466.20046620046617,111
5526,1,11410,È«Á¦µ¿,2008-02-18,È«Á¦ÇÑ¾ç,82,60.06,13,1993,27475,457.45920745920745,111
5527,1,11410,È«Á¦µ¿,2008-02-18,·Î¾â,20-11,91.29,3,2000,23000,251.9443531602585,111
5528,1,11410,È«Á¦µ¿,2008-02-18,¼º¿ø,456,55.35,12,1998,19000,343.27009936766035,111
5529,1,11410,È«Á¦µ¿,2008-02-18,ÀÎ¿Õ»êº®»ê,465,59.82,12,2003,29000,484.78769642260113,111
5530,1,11410,È«Á¦µ¿,2008-02-19,¼­°­,354-6,157.17,4,1991,37950,241.45829356747473,111
5531,1,11410,È«Á¦µ¿,2008-02-19,¹®È­ÃÌÇö´ë,463,59.94,15,2002,25000,417.08375041708376,111
5532,1,11410,È«Á¦µ¿,2008-02-20,¾È»ê¸Ç¼ð,104-20,76.03,3,1972,20500,269.63040904905955,111
5533,1,11410,È«Á¦µ¿,2008-02-20,Ã»±¸1Â÷,453,84.78,5,1994,40500,477.7070063694267,111
5534,1,11410,È«Á¦µ¿,2008-02-21,·Î¾â,20-11,91.29,1,2000,23500,257.4214043159163,111
5535,1,11410,È«Á¦µ¿,2008-02-21,Ã»±¸3Â÷,462,84.96,17,2001,37000,435.49905838041434,111
5536,1,11410,È«Á¦µ¿,2008-02-21,¹®È­ÃÌÇö´ë,463,59.94,17,2002,25500,425.42542542542543,111
5537,1,11410,È«Á¦µ¿,2008-02-21,Çö´ë±×¸°,455,84.96,9,1996,27000,317.79661016949154,111
5538,1,11410,È«Á¦µ¿,2008-02-21,³²¾ç,457,114.99,19,1999,43200,375.6848421601879,111
5539,1,11410,È«Á¦µ¿,2008-02-21,È«Á¦¿øÇö´ë(459-0),459,114.72,15,2000,71000,618.8981868898187,111
5540,1,11410,È«Á¦µ¿,2008-02-21,Ã»±¸2Â÷,453-1,59.89,13,1997,26350,439.97328435465016,111
5541,1,11410,È«Á¦µ¿,2008-02-21,È«Á¦ÇØ¼º,466,83.5884,2,2002,30000,358.90147436725675,111
5542,1,11410,È«Á¦µ¿,2008-02-21,È«Á¦Çö´ë,331,106.18,3,1992,54500,513.2793369749481,111
5543,1,11410,È«Á¦µ¿,2008-02-22,È«Á¦Çö´ë,331,75.15,11,1992,35850,477.0459081836327,111
5544,1,11410,È«Á¦µ¿,2008-02-22,È«Á¦Çö´ë,331,106.18,10,1992,54900,517.0465247692597,111
