,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,Æò´ç°¡°Ý,°Å·¡ÁÖ
52464,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52465,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52466,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52467,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52468,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693
52469,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693
52470,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,28500,512.1293800539083,693
52471,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693
52472,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693
52473,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693
52474,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693
52475,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,24000,431.26684636118597,693
52476,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,27500,494.1599281221923,693
52477,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,693
52478,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,21000,377.35849056603774,693
52479,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,693
52480,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693
52481,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693
52482,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693
52483,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52484,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52485,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693
52486,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693
52487,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693
52488,1,11530,°³ºÀµ¿,2019-04-15,°Å¼º,270-80,47.52,4,1988,17300,364.05723905723903,693
52489,1,11530,°³ºÀµ¿,2019-04-15,µ¿ÀÎ,335-1,67.36,11,1989,28500,423.0997624703088,693
52490,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,24000,431.26684636118597,693
52491,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,24000,431.26684636118597,693
52492,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52493,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693
52494,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,28000,503.14465408805034,693
52495,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693
52496,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693
52497,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693
52498,1,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,693
52499,1,11530,°³ºÀµ¿,2019-04-16,µÎ»ê,472,59.69,21,1997,29500,494.220137376445,693
52516,1,11530,°íÃ´µ¿,2019-04-15,°íÃ´ÆÄÅ©Çª¸£Áö¿À,339,59.89,5,2009,53300,889.9649357154784,693
52517,1,11530,°íÃ´µ¿,2019-04-16,°íÃ´¿ùµå¸Þ¸£µð¾Ó,343,84.96,9,2011,54000,635.5932203389831,693
52518,1,11530,°íÃ´µ¿,2019-04-20,ÇÑÈ¿,52-332,69.87,7,1985,39000,558.1794761700301,693
52554,1,11530,±¸·Îµ¿,2019-04-15,±Øµ¿,314,55.57,9,1984,29750,535.3608061903905,693
52555,1,11530,±¸·Îµ¿,2019-04-15,ºñÁîÆ®À§Æ®±×¸°,Oct-98,15.11,15,2012,9700,641.958967571145,693
52556,1,11530,±¸·Îµ¿,2019-04-15,SRÄ£¿À¾Ö,May-97,84.973,7,2009,42000,494.2746519482659,693
52557,1,11530,±¸·Îµ¿,2019-04-15,±¸ÀÏ¿ì¼º,1259,84.49,2,1998,40500,479.3466682447627,693
52558,1,11530,±¸·Îµ¿,2019-04-17,½Å±¸·ÎÀÚÀÌ,501,101.96,27,2007,62500,612.985484503727,693
52559,1,11530,±¸·Îµ¿,2019-04-17,»ï¼º·¡¹Ì¾È,256-1,56.036,10,2004,50800,906.5600685273753,693
52560,1,11530,±¸·Îµ¿,2019-04-18,±¸·ÎµÎ»ê,1265,44.64,12,1998,30500,683.2437275985664,693
52561,1,11530,±¸·Îµ¿,2019-04-18,·°Å°,1257,56.11,5,1992,38250,681.6966672607379,693
52562,1,11530,±¸·Îµ¿,2019-04-18,»ï¼º·¡¹Ì¾È,256-1,78.665,2,2004,57000,724.5916227038708,693
52563,1,11530,±¸·Îµ¿,2019-04-19,½Å¼º¹Ì¼ÒÁö¿ò,1274,84.23,14,2003,51500,611.4211088685742,693
52564,1,11530,±¸·Îµ¿,2019-04-20,·°Å°,1257,84.9,7,1992,53250,627.208480565371,693
52590,1,11530,±Ãµ¿,2019-04-19,´ÙÃ»¸²(103µ¿),182-11,83.29,3,2006,35500,426.22163525033017,693
52595,1,11530,½Åµµ¸²µ¿,2019-04-14,µ¿¾Æ2,644,84.90799999999999,25,2000,83000,977.5286192113819,693
